Latency (ms), +/- (ms)
0.98, 0.03
0.91, 0.04
1.13, 0.04
0.64, 0.03
1.07, 0.03
1.36, 0.08
0.62, 0.03
1.25, 0.07
1.32, 0.06
0.86, 0.03
0.55, 0.03
0.76, 0.05
0.57, 0.04
1.45, 0.05
1.42, 0.05
1.43, 0.08
0.52, 0.04
1.27, 0.05
1.49, 0.07
0.46, 0.03
1.01, 0.04
0.95, 0.03
1.27, 0.03
1.42, 0.06
1.00, 0.03
0.47, 0.03
0.90, 0.03
1.18, 0.04
0.94, 0.03
1.08, 0.08
0.80, 0.04
0.41, 0.03
1.36, 0.03
1.19, 0.04
1.48, 0.07
1.25, 0.04
0.69, 0.06
0.84, 0.01
0.73, 0.04
0.91, 0.10
1.12, 0.08
0.54, 0.05
0.73, 0.05
0.84, 0.04
0.96, 0.06
1.45, 0.07
0.70, 0.04
1.29, 0.03
1.30, 0.03
1.26, 0.07
1.29, 0.04
0.96, 0.06
1.38, 0.05
0.97, 0.07
0.54, 0.04
1.22, 0.04
0.88, 0.04
0.39, 0.03
0.39, 0.03
1.34, 0.07
0.46, 0.03
1.04, 0.04
0.89, 0.03
1.21, 0.01
1.26, 0.03
0.52, 0.03
0.94, 0.07
1.16, 0.10
0.61, 0.04
0.77, 0.04
1.06, 0.04
0.82, 0.04
0.59, 0.05
0.65, 0.03
1.27, 0.08
0.76, 0.07
1.17, 0.05
1.01, 0.10
0.98, 0.06
1.12, 0.06
0.38, 0.03
0.75, 0.03
0.85, 0.04
0.76, 0.05
1.09, 0.03
1.44, 0.08
1.21, 0.03
0.81, 0.04
0.73, 0.04
0.52, 0.04
0.93, 0.05
0.95, 0.08
0.63, 0.04
1.25, 0.03
1.37, 0.10
1.44, 0.06
1.17, 0.03
0.87, 0.03
0.53, 0.03
0.59, 0.05
